filename	dose	time	replicate
cat_001-002-103758	Ctrl	24	1
cat_001-002-103759	Ctrl	24	2
cat_001-002-103760	Ctrl	24	3
cat_001-002-103761	Ctrl	24	4
cat_001-002-103762	Ctrl	24	5
cat_001-002-103763	100	24	1
cat_001-002-103764	100	24	2
cat_001-002-103765	100	24	3
cat_001-002-103766	100	24	4
cat_001-002-103767	100	24	5
cat_001-002-103768	200	24	1
cat_001-002-103769	200	24	2
cat_001-002-103770	200	24	1
cat_001-002-103771	200	24	2
cat_001-002-103772	200	24	3
cat_001-002-103773	200	24	4
cat_001-002-103774	200	24	5
cat_001-002-103775	Ctrl	48	1
cat_001-002-103776	Ctrl	48	2
cat_001-002-103777	Ctrl	48	3
cat_001-002-103778	Ctrl	48	4
cat_001-002-103779	Ctrl	48	5
cat_001-002-103780	100	48	1
cat_001-002-103781	100	48	2
cat_001-002-103782	100	48	3
cat_001-002-103783	100	48	4
cat_001-002-103784	100	48	5
cat_001-002-103785	200	48	1
cat_001-002-103786	200	48	2
cat_001-002-103787	200	48	3
cat_001-002-103788	200	48	4
cat_001-002-103789	200	48	5
